ТН;ТБ;ГОСБ;кластер;сумма
00000000000000621653;Среднерусский банк;Рязанское ГОСБ;3;-5958077
00000000000000007851;Московский банк;Управление МБ по работе с предприятиями транспорта;1;7707292471
00000000000002218938;Байкальский банк;Иркутское ГОСБ;1;13506631546
00000000000000681382;Северо-Западный банк;Калининградское ГОСБ;3;21380341182
00000000000000782335;Юго-Западный банк;Краснодарское ГОСБ;1;-5205365
00000000000001646505;Сибирский банк;Алтайское ГОСБ;2;0
00000000000001888556;Северо-Западный банк;Вологодское ГОСБ;3;27352524873
00000000000001847743;Юго-Западный банк;Ставропольское ГОСБ;1;-433946
00000000000000442240;Поволжский банк;Аппарат Поволжского банка;1;0
00000000000000691283;Северо-Западный банк;Карельское ГОСБ;4;19522397136
00000000000001691483;Уральский банк;Башкирское ГОСБ;1;6806057616
00000000000000334557;Волго-Вятский банк;Владимирское ГОСБ;3;-1816994
00000000000000315408;Северо-Западный банк;ГО по Санкт-Петербургу;1;24001365691
00000000000001261084;Среднерусский банк;Брянское ГОСБ;3;3184493309
00000000000002204858;Юго-Западный банк;Ростовское ГОСБ;1;17412268889
00000000000001352573;Волго-Вятский банк;Чувашское ГОСБ;3;18998107645
00000000000001660136;Среднерусский банк;Южное ГОСБ;1;-2146296
00000000000000288063;Дальневосточный банк;Приморское ГОСБ;1;15136868267
00000000000000332509;Волго-Вятский банк;Чувашское ГОСБ;3;4514241460
00000000000000680899;Северо-Западный банк;Мурманское ГОСБ;2;28633398949
00000000000001349143;Среднерусский банк;Рязанское ГОСБ;3;0
00000000000002019546;Поволжский банк;Самарское ГОСБ;1;15472540860
00000000000001760525;Волго-Вятский банк;Банк Татарстан ГОСБ;1;3381607291
00000000000000699373;Юго-Западный банк;ГО по Республике Крым;5;0
00000000000001397277;Юго-Западный банк;ГО по Донецкой Народной Республике;5;11812231216
00000000000000811978;Северо-Западный банк;Новгородское ГОСБ;4;11104501459
00000000000000307489;Юго-Западный банк;Кабардино-Балкарское ОСБ;5;21091094192
00000000000002006187;Юго-Западный банк;Краснодарское ГОСБ;1;682195225
00000000000002084779;Московский банк;Управление МБ по работе с предприятиями торговли;1;-2281200
00000000000002180304;Московский банк;Управление МБ по работе с предприятиями торговли;1;0
00000000000000861080;Северо-Западный банк;ГО по Санкт-Петербургу;1;15586054119
00000000000002151110;Юго-Западный банк;ГО по Донецкой Народной Республике;5;18665447466
00000000000002030320;Центрально-Черноземный банк;Курское ГОСБ;4;2756047213
00000000000001510343;Волго-Вятский банк;Банк Татарстан ГОСБ;1;21753759359
00000000000000851473;Сибирский банк;Новосибирское ГОСБ;1;4467422023
00000000000001618988;Волго-Вятский банк;ГО по Нижегородской области;1;25048929089
00000000000001545287;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;24454295595
00000000000000310512;Юго-Западный банк;Ставропольское ГОСБ;1;13680133245
00000000000000413069;Центрально-Черноземный банк;Тамбовское ГОСБ;4;24659515892
00000000000002008167;Сибирский банк;Кемеровское ГОСБ;1;2710240337
00000000000000865176;Поволжский банк;Пензенское ГОСБ;3;19206064207
00000000000001962880;Уральский банк;Свердловское ГОСБ;1;7539379524
00000000000001209077;Сибирский банк;Аппарат Сибирского банка;1;2353887796
00000000000001739807;Северо-Западный банк;Аппарат Северо-Западного банка;1;14205087162
00000000000000386870;Уральский банк;Аппарат Уральского банка;1;11433053467
00000000000000319272;Волго-Вятский банк;ГО по Нижегородской области;1;11242410981
00000000000001718061;Юго-Западный банк;Ставропольское ГОСБ;1;194825207
00000000000001766879;Среднерусский банк;Аппарат Среднерусского банка;1;28187171226
00000000000001202842;Северо-Западный банк;ГО по Санкт-Петербургу;1;29016732450
00000000000000349083;Сибирский банк;Алтайское ГОСБ;2;4228974156
00000000000000339815;Волго-Вятский банк;Владимирское ГОСБ;3;0
00000000000001222349;Байкальский банк;Иркутское ГОСБ;1;12836150930
00000000000001306762;Среднерусский банк;Ярославское ГОСБ;2;28273950318
00000000000001138136;Волго-Вятский банк;ГО по Нижегородской области;1;28847749471
00000000000001367056;Волго-Вятский банк;ГО по Нижегородской области;1;22619910242
00000000000002203647;Поволжский банк;Пензенское ГОСБ;3;15891125612
00000000000001740351;Северо-Западный банк;ГО по Санкт-Петербургу;1;26778701768
00000000000001371223;Центрально-Черноземный банк;ГО по Воронежской области;1;21498061449
00000000000001102170;Юго-Западный банк;Краснодарское ГОСБ;1;12601136092
00000000000000379708;Уральский банк;Башкирское ГОСБ;1;14403933230
00000000000001441350;Поволжский банк;Оренбургское ГОСБ;2;8660053081
00000000000002065307;Московский банк;Управление МБ по работе с предприятиями торговли;1;15074644895
00000000000000340222;Сибирский банк;Кемеровское ГОСБ;1;27256021968
00000000000000688899;Северо-Западный банк;Аппарат Северо-Западного банка;1;18028675894
00000000000000321434;Волго-Вятский банк;Кировское ГОСБ;3;-3692649
00000000000001360115;Волго-Вятский банк;ГО по Нижегородской области;1;2978801378
00000000000001385197;Уральский банк;Башкирское ГОСБ;1;5690656745
00000000000000333446;Волго-Вятский банк;Банк Татарстан ГОСБ;1;2630374621
00000000000001997242;Уральский банк;Югорское отделение;1;-7634322
00000000000000776688;Московский банк;Управление МБ по работе с предприятиями промышленности;1;-3384190
00000000000002170627;Среднерусский банк;Аппарат Среднерусского банка;1;5135429697
00000000000000705008;Северо-Западный банк;Карельское ГОСБ;4;12535037933
00000000000002145737;Среднерусский банк;Восточное ГОСБ;1;16877143582
00000000000002115154;Юго-Западный банк;ГО по Донецкой Народной Республике;5;18995340684
00000000000001445731;Поволжский банк;Волгоградское ГОСБ;2;10051913804
00000000000000928216;Северо-Западный банк;ГО по Санкт-Петербургу;1;4420200140
00000000000001947062;Уральский банк;Свердловское ГОСБ;1;26522911714
00000000000000367298;Среднерусский банк;Аппарат Среднерусского банка;1;5658618547
00000000000001567814;Юго-Западный банк;Ставропольское ГОСБ;1;12553650034
00000000000002225106;Московский банк;Управление МБ по работе с предприятиями торговли;1;20713837691
00000000000001154518;Центрально-Черноземный банк;ГО по Воронежской области;1;803616097
00000000000000879386;Среднерусский банк;Аппарат Среднерусского банка;1;-2819344
00000000000001784936;Московский банк;Управление МБ по работе с предприятиями транспорта;1;12966226770
00000000000002201437;Уральский банк;Западно-Сибирское ГОСБ;2;8223082739
00000000000002021760;Московский банк;Управление МБ по работе с предприятиями торговли;1;-7685404
00000000000002211675;Волго-Вятский банк;Банк Татарстан ГОСБ;1;15192876476
00000000000000037123;Московский банк;Управление МБ по работе с предприятиями транспорта;1;5820588623
00000000000000400880;Центрально-Черноземный банк;ГО по Воронежской области;1;-4722585
00000000000001971736;Юго-Западный банк;Ростовское ГОСБ;1;21731364117
00000000000001455878;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;13859579887
00000000000000402201;Центрально-Черноземный банк;Аппарат Центрально-Черноземного банка;1;21267243059
00000000000002123846;Центрально-Черноземный банк;Тамбовское ГОСБ;4;7311285756
00000000000000364625;Среднерусский банк;Тульское ГОСБ;2;23958633367
00000000000001160438;Уральский банк;Башкирское ГОСБ;1;8845551697
00000000000000370194;Среднерусский банк;Тверское ГОСБ;3;5987280269
00000000000000751697;Юго-Западный банк;ГО по Донецкой Народной Республике;5;3424886562
00000000000000929256;Поволжский банк;Оренбургское ГОСБ;2;24418436350
00000000000000877649;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;7315357938
00000000000001454323;Байкальский банк;Аппарат Байкальского Банка;1;13293510198
00000000000000374037;Среднерусский банк;Калужское ГОСБ;3;10298228339
00000000000002158692;Уральский банк;Башкирское ГОСБ;1;2177198009
00000000000001894645;Поволжский банк;Самарское ГОСБ;1;25189936690
00000000000000368099;Среднерусский банк;Северное ГОСБ;1;29340390633
00000000000000041144;Московский банк;Управление МБ по работе с предприятиями промышленности;1;10441084224
00000000000000782396;Юго-Западный банк;Краснодарское ГОСБ;1;3214380068
00000000000000680041;Северо-Западный банк;Калининградское ГОСБ;3;20782426722
00000000000000922400;Байкальский банк;Якутское ГОСБ;2;23804016464
00000000000000867376;Волго-Вятский банк;Банк Татарстан ГОСБ;1;-7455751
00000000000001590809;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;22743680025
00000000000000376785;Уральский банк;Аппарат Уральского банка;1;20619526549
00000000000000888141;Юго-Западный банк;Ставропольское ГОСБ;1;-3528061
00000000000001505675;Байкальский банк;Иркутское ГОСБ;1;5316515578
00000000000000294261;Северо-Западный банк;Вологодское ГОСБ;3;2815230973
00000000000000681656;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;21514457754
00000000000000360099;Среднерусский банк;Брянское ГОСБ;3;25515294940
00000000000001725808;Северо-Западный банк;ГО по Санкт-Петербургу;1;3099734003
00000000000000338638;Волго-Вятский банк;Владимирское ГОСБ;3;28174486221
00000000000002198304;Северо-Западный банк;Калининградское ГОСБ;3;18458293751
00000000000002237393;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;-8968956
00000000000001802449;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;19606087715
00000000000000760117;Юго-Западный банк;Краснодарское ГОСБ;1;-568239
00000000000000379378;Уральский банк;Свердловское ГОСБ;1;24091100044
00000000000001442257;Юго-Западный банк;Краснодарское ГОСБ;1;-2771469
00000000000000933521;Уральский банк;Свердловское ГОСБ;1;11373271720
00000000000001299063;Северо-Западный банк;ГО по Санкт-Петербургу;1;-61537
00000000000001548915;Среднерусский банк;Ярославское ГОСБ;2;21327401434
00000000000002061511;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;7207705775
00000000000000976034;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;-8923086
00000000000000291395;Северо-Западный банк;Архангельское ГОСБ;2;24058531089
00000000000001420181;Московский банк;Управление МБ по работе с предприятиями транспорта;1;20386936080
00000000000001486034;Северо-Западный банк;ГО по Санкт-Петербургу;1;28345208262
00000000000001474097;Поволжский банк;Самарское ГОСБ;1;634928784
00000000000000405606;Центрально-Черноземный банк;Липецкое ГОСБ;3;-3048064
00000000000002017172;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;14325518598
00000000000000638214;Среднерусский банк;Смоленское ГОСБ;4;21052236408
00000000000000682828;Северо-Западный банк;Мурманское ГОСБ;2;8565606596
00000000000000380153;Уральский банк;Башкирское ГОСБ;1;-6277186
00000000000001637649;Волго-Вятский банк;Мордовское ГОСБ;4;3165208395
00000000000000353237;Сибирский банк;Алтайское ГОСБ;2;15324110546
00000000000001880378;Московский банк;Управление МБ по работе с предприятиями транспорта;1;-2928518
00000000000002101998;Северо-Западный банк;Вологодское ГОСБ;3;1864858516
00000000000001466322;Сибирский банк;Новосибирское ГОСБ;1;-5547891
00000000000001755900;Уральский банк;Ямало-Ненецкое отделение;4;0
00000000000000413803;Центрально-Черноземный банк;Белгородское ГОСБ;2;29034097261
00000000000001832422;Уральский банк;Западно-Сибирское ГОСБ;2;-2671101
00000000000001095294;Байкальский банк;Якутское ГОСБ;2;16702422011
00000000000001577223;Волго-Вятский банк;Пермское ГОСБ;1;24045448888
00000000000001589551;Среднерусский банк;Южное ГОСБ;1;23146687071
00000000000001603720;Среднерусский банк;Рязанское ГОСБ;3;2243533732
00000000000001094793;Дальневосточный банк;Хабаровское ГОСБ;2;24393469842
00000000000001469698;Центрально-Черноземный банк;ГО по Луганской Народной Республике;5;13555704270
